[INFO ] 2020-12-02 16:15:57.004 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-02 16:16:02.396 [main] - Cards on Page: 15
[INFO ] 2020-12-02 16:16:02.587 [main] - QA Engineer | Ethos Solutions, LLC | 21 days ago
[INFO ] 2020-12-02 16:16:03.458 [main] - Software Quality Assurance Analyst (Remote) | Leading Reach, Inc. | Today
[INFO ] 2020-12-02 16:16:03.933 [main] - Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago
[INFO ] 2020-12-02 16:16:04.553 [main] - QA Engineer | SkySync | 30+ days ago
[INFO ] 2020-12-02 16:16:05.025 [main] - QA Engineer | Bear Group | 7 days ago
[INFO ] 2020-12-02 16:16:05.891 [main] - QA Engineer | Affinity Resources | 1 day ago
[INFO ] 2020-12-02 16:16:06.309 [main] - VP of Software QA | ITAC Solutions | 2 days ago
[INFO ] 2020-12-02 16:16:06.809 [main] - Software QA Specialist | APAX Software | Just posted
[INFO ] 2020-12-02 16:16:07.173 [main] - Software Quality Assurance (QA) | Ebury Partners | 30+ days ago
[INFO ] 2020-12-02 16:16:07.669 [main] - QA Engineer - Remote | MobyMax | Just posted
[INFO ] 2020-12-02 16:16:08.064 [main] - QA Engineer | Food52 | Today
[INFO ] 2020-12-02 16:16:08.455 [main] - Director, Software Quality Assurance | NRC Health | 1 day ago
[INFO ] 2020-12-02 16:16:08.822 [main] - QA Engineer | Ansira | 2 days ago
[INFO ] 2020-12-02 16:16:09.218 [main] - Shared Services QA Engineer | Apple | 13 days ago
[INFO ] 2020-12-02 16:16:09.618 [main] - Entry level manual tester/ QA | Qabasa Inc. | 30+ days ago
