[INFO ] 2020-12-03 08:26:10.553 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 08:26:18.850 [main] - Cards on Page: 15
[INFO ] 2020-12-03 08:26:19.112 [main] - | QA Engineer | Ethos Solutions, LLC | 22 days ago |
[INFO ] 2020-12-03 08:26:20.008 [main] - | Software Quality Assurance Analyst (Remote) | Leading Reach, Inc. | 1 day ago |
[INFO ] 2020-12-03 08:26:20.744 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago |
[INFO ] 2020-12-03 08:26:21.418 [main] - | QA Engineer | Affinity Resources | 1 day ago |
[INFO ] 2020-12-03 08:26:22.082 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago |
[INFO ] 2020-12-03 08:26:22.534 [main] - | Software QA Specialist | APAX Software | Today |
[INFO ] 2020-12-03 08:26:23.015 [main] - | Software QA Engineer | ChargePoint | Today |
[INFO ] 2020-12-03 08:26:23.626 [main] - | QA Engineer | Relatient, Inc | Today |
[INFO ] 2020-12-03 08:26:24.169 [main] - | Director, Software Quality Assurance | NRC Health | 2 days ago |
[INFO ] 2020-12-03 08:26:24.632 [main] - | QA Engineer - Remote | MobyMax | Today |
[INFO ] 2020-12-03 08:26:25.150 [main] - | Quality Assurance Engineer | myAgro Farms | 29 days ago |
[INFO ] 2020-12-03 08:26:25.644 [main] - | Senior Software QA Engineer | ChargePoint | Today |
[INFO ] 2020-12-03 08:26:26.223 [main] - | QA Engineer | Ansira | 2 days ago |
[INFO ] 2020-12-03 08:26:26.681 [main] - | Software Quality Assurance Analyst | NurseDash | 13 days ago |
[INFO ] 2020-12-03 08:26:27.103 [main] - | Entry level manual tester/ QA | Qabasa Inc. | 30+ days ago |
