[INFO ] 2020-12-03 09:04:42.047 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 09:04:47.108 [main] - Cards on Page: 15
[INFO ] 2020-12-03 09:04:47.359 [main] - | Software Quality Assurance Analyst (Remote) | Leading Reach, Inc. | 1 day ago |
[INFO ] 2020-12-03 09:04:48.067 [main] - | QA Engineer | Ethos Solutions, LLC | 22 days ago |
[INFO ] 2020-12-03 09:04:48.958 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago |
[INFO ] 2020-12-03 09:04:50.089 [main] - | QA Engineer | SkySync | 30+ days ago |
[INFO ] 2020-12-03 09:04:50.589 [main] - | QA Engineer | Bear Group | 8 days ago |
[INFO ] 2020-12-03 09:04:51.102 [main] - | Software Quality Assurance Analyst - Medical Device | Helius Medical Inc | 30+ days ago |
[INFO ] 2020-12-03 09:04:51.726 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago |
[INFO ] 2020-12-03 09:04:52.175 [main] - | Software QA Specialist | APAX Software | Today |
[INFO ] 2020-12-03 09:04:52.613 [main] - | Software QA Engineer | ChargePoint | Today |
[INFO ] 2020-12-03 09:04:53.099 [main] - | QA Engineer | Affinity Resources | 1 day ago |
[INFO ] 2020-12-03 09:04:53.638 [main] - | QA Engineer | CyberCoders | 1 day ago |
[INFO ] 2020-12-03 09:04:54.275 [main] - | QA Engineer | Relatient, Inc | Today |
[INFO ] 2020-12-03 09:04:54.701 [main] - | Director, Software Quality Assurance | NRC Health | 2 days ago |
[INFO ] 2020-12-03 09:04:55.192 [main] - | Lead QA Engineer | CyberCoders | 1 day ago |
[INFO ] 2020-12-03 09:04:55.706 [main] - | QA Engineer - Remote | MobyMax | Today |
