[INFO ] 2020-12-03 10:03:53.615 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 10:04:00.923 [main] - Cards on Page: 15
[INFO ] 2020-12-03 10:04:01.970 [main] - Job: | Work from Home Customer Service & Support - Chat and Inbound... | Omni Interactions | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:02.691 [main] - Job: | Work-at-Home Call Center Technician | Walgreens | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:03.593 [main] - Job: | Accounts Payable - Remote Position | Confidential | 27 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:04.227 [main] - Job: | Earn while teaching English from home | YiYiEnglish | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:04.910 [main] - Job: | Cash Applications Associate I | One Call | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:05.535 [main] - Job: | Travel Specialist | TWA | Today | Contains COVID: false |
[INFO ] 2020-12-03 10:04:06.481 [main] - Job: | Travel Agent | world Travel agency | Today | Contains COVID: false |
[INFO ] 2020-12-03 10:04:07.208 [main] - Job: | Online Chat Sales Representative | US-Mattress.com | 14 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:07.909 [main] - Job: | Patient Connection Associate III - REMOTE | Piedmont Healthcare | 13 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:08.615 [main] - Job: | Accounts Payable Lead | Baker Tilly Search & Staffing, LLC | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:09.293 [main] - Job: | Travel Consultant | world Travel agency | Today | Contains COVID: false |
[INFO ] 2020-12-03 10:04:09.959 [main] - Job: | Public Health Contract Tracer (BHJOB1435_25129) VR | Astyra Corporation | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:10.691 [main] - Job: | Law Firm Administrator | The Law Office of Barry E. Janay, P.C. | 8 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:11.359 [main] - Job: | Ticket Support: Multi-Player RPG | ModSquad | 19 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:04:12.169 [main] - Job: | Professional Test Scorer | Pearson | 9 days ago | Contains COVID: false |
