[INFO ] 2020-12-03 10:43:20.373 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 10:43:28.379 [main] - Cards on Page: 15
[INFO ] 2020-12-03 10:43:29.762 [main] - REMOTE: Job: | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:30.591 [main] - REMOTE: Job: | QA Engineer | Ethos Solutions, LLC | 22 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:31.228 [main] - REMOTE: Job: | Software Quality Assurance Analyst (Remote) | Leading Reach, Inc. | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:36.813 [main] - REMOTE: Job: | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:37.473 [main] - REMOTE: Job: | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:38.530 [main] - REMOTE: Job: | QA Engineer | Bear Group | 8 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:39.463 [main] - REMOTE: Job: | Software QA Specialist | APAX Software | Today | Contains COVID: false |
[INFO ] 2020-12-03 10:43:40.060 [main] - REMOTE: Job: | Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 10:43:40.721 [main] - REMOTE: Job: | QA Engineer | Relatient, Inc | Today | Contains COVID: false |
[INFO ] 2020-12-03 10:43:41.442 [main] - REMOTE: Job: | Director, Software Quality Assurance | NRC Health | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:42.345 [main] - TEMP: Job: | QA Engineer | Affinity Resources | 2 days ago | Contains COVID: true |
[INFO ] 2020-12-03 10:43:42.938 [main] - REMOTE: Job: | Software Quality Assurance Analyst | NurseDash | 13 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:43.681 [main] - REMOTE: Job: | QA Engineer - Remote | MobyMax | Today | Contains COVID: false |
[INFO ] 2020-12-03 10:43:44.295 [main] - REMOTE: Job: | Quality Assurance Engineer | myAgro Farms | 29 days ago | Contains COVID: false |
[INFO ] 2020-12-03 10:43:44.928 [main] - REMOTE: Job: | Entry level manual tester/ QA | Qabasa Inc. | 30+ days ago | Contains COVID: false |
