[INFO ] 2020-12-03 11:16:43.104 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 11:16:51.860 [main] - Cards on Page: 15
[INFO ] 2020-12-03 11:16:52.965 [main] - Job: | QA Engineer | Ethos Solutions, LLC | 22 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:16:53.757 [main] - Job: | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:16:54.386 [main] - Job: | Software Quality Assurance Analyst (Remote) | Leading Reach, Inc. | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 11:16:55.233 [main] - Job: | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:16:55.981 [main] - Job: | QA Engineer | Bear Group | 8 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:16:57.323 [main] - Job: | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:16:58.094 [main] - Job: | Software QA Specialist | APAX Software | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:16:58.724 [main] - Job: | Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:16:59.397 [main] - Job: | QA Engineer | Relatient, Inc | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:17:00.027 [main] - Job: | Director, Software Quality Assurance | NRC Health | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:17:00.782 [main] - Job: | Software Quality Assurance Analyst | NurseDash | 13 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:17:01.460 [main] - Job: | QA Engineer - Remote | MobyMax | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:17:02.138 [main] - Job: | QA Automation Engineer | Brooksource | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:17:03.011 [main] - Job: | Quality Assurance Engineer | myAgro Farms | 29 days ago | Contains COVID: false |
