[INFO ] 2020-12-03 11:30:55.364 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-03 11:31:06.667 [main] - Cards on Page: 15
[INFO ] 2020-12-03 11:31:09.993 [main] - Job: | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:12.021 [main] - Job: | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:20.342 [main] - Job: | Software QA Specialist | APAX Software | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:31:27.732 [main] - Job: | Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:31:43.043 [main] - Job: | QA Engineer | Relatient, Inc | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:31:45.217 [main] - Job: | Director, Software Quality Assurance | NRC Health | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:46.066 [main] - Job: | Software Quality Assurance Analyst | NurseDash | 13 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:47.161 [main] - Job: | QA Engineer - Remote | MobyMax | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:31:50.054 [main] - Job: | Entry level manual tester/ QA | Qabasa Inc. | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:51.433 [main] - Job: | Quality Assurance Engineer | myAgro Farms | 29 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:53.975 [main] - Job: | QA Engineer | Food52 | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:54.734 [main] - Job: | QA Engineer | Ansira | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:55.888 [main] - Job: | Shared Services QA Engineer | Apple | 14 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:58.235 [main] - Job: | Quality Assurance Engineer | ShipBob Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:31:58.275 [main] - Cards on Page: 15
[INFO ] 2020-12-03 11:32:03.570 [main] - Job: | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:32:06.941 [main] - Job: | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:32:13.124 [main] - Job: | Software QA Specialist | APAX Software | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:32:14.504 [main] - Job: | Software QA Engineer | ChargePoint | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:32:16.082 [main] - Job: | QA Engineer | Relatient, Inc | Today | Contains COVID: false |
[INFO ] 2020-12-03 11:32:17.327 [main] - Job: | Director, Software Quality Assurance | NRC Health | 2 days ago | Contains COVID: false |
[INFO ] 2020-12-03 11:32:18.779 [main] - Job: | Software Quality Assurance Analyst | NurseDash | 13 days ago | Contains COVID: false |
