[INFO ] 2020-12-04 11:20:13.158 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:20:20.950 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:20:25.694 [main] - | Senior SQA Engineer | Blackbird Technical Staffing | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:20:27.126 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:28.238 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:29.764 [main] - | QA Engineer | SkySync | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:32.217 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:33.570 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:20:34.496 [main] - | QA Engineer | Bear Group | 9 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:35.759 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:20:37.969 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:38.887 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:40.187 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:20:41.471 [main] - | QA Automation Engineer | Brooksource | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:20:42.415 [main] - | Quality Assurance Engineer | myAgro Farms | 30+ days ago | Contains COVID: false |
