[INFO ] 2020-12-04 11:23:43.297 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 11:23:50.386 [main] - Cards on Page: 15
[INFO ] 2020-12-04 11:23:52.090 [main] - | QA Engineer | Ethos Solutions, LLC | 23 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:23:54.347 [main] - | Quality Assurance Engineer | TruConnect Communication Inc | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:23:55.657 [main] - | Software QA Engineer | Premier Staffing Partners | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:23:57.892 [main] - | Software Quality Assurance (QA) | Ebury Partners | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:23:58.868 [main] - | Quality Assurance Engineer | NRC Health | Today | Contains COVID: false |
[INFO ] 2020-12-04 11:24:00.014 [main] - | Director of Quality Assurance | CBTS | Just posted | Contains COVID: false |
[INFO ] 2020-12-04 11:24:01.218 [main] - | QA Engineer | Relatient, Inc | 1 day ago | Contains COVID: false |
[INFO ] 2020-12-04 11:24:02.298 [main] - | Director, Software Quality Assurance | NRC Health | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:24:03.216 [main] - | Shared Services QA Engineer | Apple | 15 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:24:04.148 [main] - | QA Engineer | Ansira | 3 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:24:05.199 [main] - | Quality Assurance Engineer | myAgro Farms | 30+ days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:24:06.394 [main] - | Software QA Engineer | SnapClose | 28 days ago | Contains COVID: false |
[INFO ] 2020-12-04 11:24:07.679 [main] - | Quality Assurance Engineer | ShipBob Inc | 30+ days ago | Contains COVID: false |
