[INFO ] 2020-12-04 13:18:36.138 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 13:18:47.738 [main] - Cards on Page 1: 15
[INFO ] 2020-12-04 13:18:49.760 [main] - | Director of Quality Assurance | CBTS | Just posted |
[INFO ] 2020-12-04 13:18:50.427 [main] - | Software Quality Assurance Engineer (remote) | CNSI | Just posted |
[INFO ] 2020-12-04 13:18:51.023 [main] - | Senior Quality and Compliance Associate - Remote | Clinical Solutions | Just posted |
[INFO ] 2020-12-04 13:18:52.487 [main] - | Software QA Engineer | Premier Staffing Partners | Today |
[INFO ] 2020-12-04 13:18:53.180 [main] - | Quality Assurance Engineer | NRC Health | Today |
[INFO ] 2020-12-04 13:18:53.990 [main] - | Software QA Analyst | ARGO | Today |
[INFO ] 2020-12-04 13:18:54.646 [main] - | QA Engineer - REMOTE | Quimbee | Today |
[INFO ] 2020-12-04 13:18:56.359 [main] - | Sr. ServiceNow Tester | Cystems Logic Inc. | Today |
[INFO ] 2020-12-04 13:18:57.290 [main] - | Production Scheduler | Working World | 1 day ago |
[INFO ] 2020-12-04 13:18:57.985 [main] - | QA Engineer | Relatient, Inc | 1 day ago |
[INFO ] 2020-12-04 13:18:59.031 [main] - | QA Engineer - Remote | MobyMax | 1 day ago |
[INFO ] 2020-12-04 13:18:59.752 [main] - | Remote - Senior QA Engineer | J2 Cloud Services | 1 day ago |
