[INFO ] 2020-12-04 15:18:35.304 [main] - ======= Test 'SearchPageTest' is started =======
[INFO ] 2020-12-04 15:18:47.517 [main] - Cards on Page: 15
[INFO ] 2020-12-04 15:18:49.087 [main] - | QA Engineer | IRL | Just posted |
[INFO ] 2020-12-04 15:18:50.553 [main] - | Software Quality Assurance Engineer (remote) | CNSI | Just posted |
[INFO ] 2020-12-04 15:18:51.114 [main] - | Senior Quality and Compliance Associate - Remote | Clinical Solutions | Just posted |
[INFO ] 2020-12-04 15:18:51.803 [main] - | Lead DBA | Community Brands | Just posted |
[INFO ] 2020-12-04 15:18:52.698 [main] - | Director of Quality Assurance | CBTS | Today |
[INFO ] 2020-12-04 15:18:54.432 [main] - | Quality Assurance Engineer | NRC Health | Today |
[INFO ] 2020-12-04 15:18:55.022 [main] - | Software QA Analyst | ARGO | Today |
[INFO ] 2020-12-04 15:18:55.745 [main] - | QA Engineer - REMOTE | Quimbee | Today |
[INFO ] 2020-12-04 15:18:57.316 [main] - | Software QA Engineer | Premier Staffing Partners | 1 day ago |
[INFO ] 2020-12-04 15:18:58.018 [main] - | IT Service Delivery Specialist | Net Health | 1 day ago |
[INFO ] 2020-12-04 15:18:59.651 [main] - | Sr. ServiceNow Tester | Cystems Logic Inc. | 1 day ago |
